day,date,position,shares_L,shares_O,z_score,price_L,price_O
188,Y0-M09-D23,1,200,-1430,-1.461843490281084,181.96,32.15
189,Y0-M09-D24,1,200,-1430,-1.3915121289566295,179.67,31.4
190,Y0-M09-D25,1,200,-1430,-1.2455788019220784,181.97,30.83
191,Y0-M09-D28,1,200,-1430,-1.2667247308050023,176.47,30.19
192,Y0-M09-D29,1,200,-1430,-1.3243936476952332,173.45,30.12
193,Y0-M09-D30,1,200,-1430,-1.1836216607928687,175.31,29.52
194,Y0-M10-D01,1,200,-1430,-1.119729877482186,182.32,30.11
195,Y0-M10-D02,1,200,-1430,-1.1663989829766686,177.85,29.77
196,Y0-M10-D05,1,200,-1430,-1.0826910190309356,178.79,29.39
197,Y0-M10-D06,1,200,-1430,-1.1198853807164262,176.45,29.29
198,Y0-M10-D07,1,200,-1430,-0.9355906886380546,181.57,28.88
199,Y0-M10-D08,1,200,-1430,-0.9047579103153719,181.63,28.7
200,Y0-M10-D09,1,200,-1430,-0.829086010388778,184.65,28.66
201,Y0-M10-D12,1,200,-1430,-0.9466344360333124,180.73,28.83
202,Y0-M10-D13,1,200,-1430,-0.8953424045956601,186.26,29.29
203,Y0-M10-D14,1,200,-1430,-0.7998256901242765,190.29,29.27
204,Y0-M10-D15,1,200,-1430,-0.9725951557263757,185.03,29.59
205,Y0-M10-D16,1,200,-1430,-1.0032357364706128,187.91,30.18
206,Y0-M10-D19,1,200,-1430,-1.149684933949107,186.66,30.9
207,Y0-M10-D20,1,200,-1430,-1.1150072319221414,187.46,30.8
208,Y0-M10-D21,1,200,-1430,-0.9466413449771405,189.31,30.03
209,Y0-M10-D22,1,200,-1430,-0.9208193422264334,186.72,29.51
210,Y0-M10-D23,1,200,-1430,-0.9461575629148505,185.47,29.49
211,Y0-M10-D26,1,200,-1430,-0.9446798857995176,183.89,29.26
212,Y0-M10-D27,1,200,-1430,-0.9035481224481713,185.83,29.28
213,Y0-M10-D28,1,200,-1430,-0.8050451168551057,190.92,29.39
214,Y0-M10-D29,1,200,-1430,-0.7673799722158179,191.35,29.22
215,Y0-M10-D30,1,200,-1430,-0.6669724425531321,190.66,28.51
216,Y0-M11-D02,1,200,-1430,-0.32592381051441205,191.76,26.58
217,Y0-M11-D03,1,200,-1430,-0.4393617261878058,185.66,26.42
218,Y0-M11-D04,1,200,-1430,-0.6062109386919909,176.44,26.15
219,Y0-M11-D05,1,200,-1430,-0.5085581725355843,185.64,26.84
220,Y0-M11-D06,1,200,-1430,-0.49002022978211757,189.31,27.24
221,Y0-M11-D09,1,200,-1430,-0.2811962561452317,191.14,26.22
222,Y0-M11-D10,1,200,-1430,-0.26963894128730603,193.79,26.52
223,Y0-M11-D11,1,200,-1430,-0.3452657537237525,191.63,26.68
224,Y0-M11-D12,1,200,-1430,-0.3184640065191337,194.66,26.94
225,Y0-M11-D13,1,200,-1430,-0.25189084839058207,197.64,26.95
226,Y0-M11-D16,1,200,-1430,-0.35811545706239306,202.08,28.22
227,Y0-M11-D17,1,200,-1430,-0.24900739864621224,212.71,29.04
228,Y0-M11-D18,1,200,-1430,-0.30770575344305434,208.93,28.87
229,Y0-M11-D19,1,200,-1430,-0.3328330199913419,201.54,27.99
230,Y0-M11-D20,1,200,-1430,-0.4215529109996885,199.38,28.23
231,Y0-M11-D23,1,200,-1430,-0.2988786880765344,205.24,28.3
232,Y0-M11-D24,1,200,-1430,-0.27397685897898366,208.33,28.58
233,Y0-M11-D25,1,200,-1430,-0.3092640609021028,211.15,29.19
234,Y0-M11-D26,1,200,-1430,-0.3951352262404848,210.33,29.6
235,Y0-M11-D27,1,200,-1430,-0.22377120055594582,212.74,28.89
236,Y0-M11-D30,1,200,-1430,-0.25444386968183574,212.83,29.09
237,Y0-M12-D01,1,200,-1430,-0.4218028624652995,211.31,29.9
238,Y0-M12-D02,1,200,-1430,-0.7504202449737223,207.75,31.41
