Day,Combined_Equity,Pairs_Equity,StockV_Equity,StockQ_Equity,HMM_Equity,Seasonality_Equity,Regime
2163,217136.68553000008,10884.43616578948,25142.440222105288,17636.099502105266,96632.95909000002,46840.75055000002,HIGH
2164,214971.04553000003,10884.43616578948,25142.440222105288,17636.099502105266,94467.31908999999,46840.75055000002,HIGH
2165,214046.96553000007,10884.43616578948,25142.440222105288,17636.099502105266,93543.23909,46840.75055000002,HIGH
2166,215187.11553000007,10884.43616578948,25142.440222105288,17636.099502105266,94683.38909000001,46840.75055000002,HIGH
2167,212565.68553000005,10884.43616578948,25142.440222105288,17636.099502105266,92061.95909,46840.75055000002,HIGH
2168,211922.04553000006,10884.43616578948,25142.440222105288,17636.099502105266,91418.31909,46840.75055000002,HIGH
2169,209824.22553000005,10884.43616578948,25142.440222105288,17636.099502105266,89320.49909,46840.75055000002,HIGH
2170,208136.37553000008,10884.43616578948,25142.440222105288,17636.099502105266,87632.64909000002,46840.75055000002,HIGH
2171,207013.40553000008,10884.43616578948,25142.440222105288,17636.099502105266,86509.67909,46840.75055000002,HIGH
2172,207432.97553000005,10884.43616578948,25142.440222105288,17636.099502105266,86929.24909,46840.75055000002,HIGH
2173,206655.14553000007,10884.43616578948,25142.440222105288,17636.099502105266,86151.41909,46840.75055000002,HIGH
2174,205279.31553000005,10884.43616578948,25142.440222105288,17636.099502105266,84775.58909000001,46840.75055000002,HIGH
2175,205449.67553000007,10884.43616578948,25142.440222105288,17636.099502105266,84945.94909000001,46840.75055000002,HIGH
2176,205818.32553000006,10884.43616578948,25142.440222105288,17636.099502105266,85314.59909,46840.75055000002,HIGH
2177,204274.21553000007,10884.43616578948,25142.440222105288,17636.099502105266,83770.48909,46840.75055000002,HIGH
2178,204904.4855300001,10884.43616578948,25142.440222105288,17636.099502105266,84400.75909000002,46840.75055000002,HIGH
2179,203540.53553000005,10884.43616578948,25142.440222105288,17636.099502105266,83036.80909,46840.75055000002,HIGH
2180,202729.23553000003,10884.43616578948,25142.440222105288,17636.099502105266,82225.50908999999,46840.75055000002,HIGH
2181,203487.25553000005,10884.43616578948,25142.440222105288,17636.099502105266,82983.52909,46840.75055000002,HIGH
2182,203187.77553000007,10884.43616578948,25142.440222105288,17636.099502105266,82684.04909,46840.75055000002,HIGH
2183,204293.11553000007,10884.43616578948,25142.440222105288,17636.099502105266,83789.38909000001,46840.75055000002,HIGH
2184,203011.03553000005,10884.43616578948,25142.440222105288,17636.099502105266,82507.30909,46840.75055000002,HIGH
2185,202440.50553000005,10884.43616578948,25142.440222105288,17636.099502105266,81936.77909,46840.75055000002,HIGH
2186,201956.36553000004,10884.43616578948,25142.440222105288,17636.099502105266,81452.63909,46840.75055000002,HIGH
2187,202858.07553000006,10884.43616578948,25142.440222105288,17636.099502105266,82354.34909,46840.75055000002,HIGH
2188,202130.64657000007,10884.43616578948,25132.131262105286,17636.099502105266,81637.22909000001,46840.75055000002,HIGH
2189,201318.71657000008,10884.43616578948,25160.211262105287,17636.099502105266,80797.21909,46840.75055000002,HIGH
2190,200287.65657000008,10884.43616578948,24931.251262105285,17636.099502105266,79995.11909000001,46840.75055000002,HIGH
2191,200520.45657000007,10884.43616578948,24877.251262105285,17636.099502105266,80281.91909000001,46840.75055000002,HIGH
2192,200276.52657000007,10884.43616578948,25111.971262105282,17636.099502105266,79803.26909,46840.75055000002,HIGH
2193,200986.12137000004,10884.43616578948,25145.60606210529,17636.099502105266,80479.22909,46840.75055000002,HIGH
2194,200814.99137000006,10884.43616578948,25145.60606210529,17636.099502105266,80308.09909,46840.75055000002,HIGH
2195,201672.65137000007,10884.43616578948,25145.60606210529,17636.099502105266,81165.75908999999,46840.75055000002,HIGH
2196,201939.42013000007,10884.43616578948,25145.60606210529,17625.788262105263,81442.83909000001,46840.75055000002,HIGH
2197,202159.28013000006,10884.43616578948,25145.60606210529,17440.188262105265,81848.29908999999,46840.75055000002,HIGH
2198,199643.85013000006,10884.43616578948,25145.60606210529,17548.068262105262,79224.98909,46840.75055000002,HIGH
