Date,mkt_ret,vol_regime,p_LOW,p_MID,p_HIGH
Y0-M07-D24,-0.0024283785396510245,MID,0.2756634900605909,0.6301201290347072,0.09421638090478726
Y0-M07-D27,0.0036569718709824465,MID,0.004023829089208887,0.8557550038256335,0.1402211670852199
Y0-M07-D28,-0.008392366730971374,HIGH,9.519203163728786e-22,0.3372187648086113,0.6627812351914426
Y0-M07-D29,-0.003724987736206982,MID,0.0025082167058618427,0.8810478770264014,0.11644390626763708
Y0-M07-D30,0.015217314395472708,HIGH,6.547206983244457e-81,2.712998334869461e-05,0.99997287001647
Y0-M07-D31,0.0041970738898627095,MID,0.0001837516861688341,0.8720145791317602,0.12780166918197577
Y0-M08-D03,-0.008030348702789498,HIGH,1.236344405087822e-19,0.44534841596087693,0.5546515840392899
Y0-M08-D04,0.001493865128588113,LOW,0.7279669178091693,0.22789629449883464,0.0441367876920191
Y0-M08-D05,0.0038229819506787207,MID,0.0018325243552208873,0.840662482938749,0.1575049927059073
Y0-M08-D06,0.004663701693278071,MID,1.2876279787341992e-05,0.8350167856496991,0.16497033807041162
Y0-M08-D07,-0.0016896769673383292,LOW,0.6946859460388844,0.2555093106843066,0.04980474327665897
Y0-M08-D10,-0.0024656416557472527,MID,0.313042417012175,0.592007545923183,0.09495003706448356
Y0-M08-D11,0.0018249208157530535,LOW,0.6465598790159377,0.29449976835034125,0.058940352633624966
Y0-M08-D12,0.0035778771102855807,MID,0.006125424726521756,0.8398869736488582,0.1539876016247449
Y0-M08-D13,0.004250916431548679,MID,0.0001578598093983212,0.8576084909968564,0.1422336491938158
Y0-M08-D14,0.010893948737216906,HIGH,6.293798319951163e-39,0.04049757425782894,0.9595024257420046
Y0-M08-D17,0.01513892824824977,HIGH,6.495924080017755e-80,4.642897941674155e-05,0.999953571020449
Y0-M08-D18,0.0006945577733792392,LOW,0.8007875932803414,0.16736276129348276,0.031849645426394596
Y0-M08-D19,-0.00023554371263116586,LOW,0.7824864403852452,0.16857923469253322,0.048934324922203475
Y0-M08-D20,-0.008381449385544274,HIGH,1.1975587101566936e-21,0.34607479590447704,0.6539252040957347
Y0-M08-D21,-0.00434091069843148,MID,8.478342809420264e-05,0.8450381784002499,0.15487703817166668
Y0-M08-D24,0.004563866152336408,MID,2.2999409581885404e-05,0.8303821450878697,0.16959485550275433
Y0-M08-D25,0.007361842136381479,MID,3.469237272582388e-16,0.5424146006172741,0.45758539938291065
Y0-M08-D26,0.0050649643908664355,MID,6.944700171438134e-07,0.8113534082592813,0.18864589727092448
Y0-M08-D27,0.005790678097699357,MID,2.2850579424880512e-09,0.7680545177467019,0.23194547996809536
Y0-M08-D28,-0.008206982737255529,HIGH,1.1388670901299777e-20,0.40082713999898323,0.5991728600012322
Y0-M08-D31,0.0076827082082654985,MID,7.916865396014336e-18,0.5427485276644938,0.4572514723354347
Y0-M09-D01,-0.008785888767431072,HIGH,4.555515565598375e-24,0.32666748038109406,0.6733325196190071
Y0-M09-D02,-0.012567858235768644,HIGH,2.320068367986118e-53,0.004422797150844216,0.99557720284893
Y0-M09-D03,-0.013687688937586151,HIGH,2.7871967530010286e-64,0.0007452204030912774,0.9992547795969166
Y0-M09-D04,-0.01142296746566534,HIGH,2.6526361885029607e-43,0.020816895736376437,0.9791831042635069
Y0-M09-D07,0.005985160704356815,MID,3.6273490006654565e-10,0.7834680018281085,0.21653199780928062
Y0-M09-D08,0.007567121337614169,HIGH,3.192236028327651e-17,0.5080044816392639,0.49199551836085387
Y0-M09-D09,0.0030087069987126455,MID,0.058350234251161426,0.8087162966025894,0.13293346914610002
Y0-M09-D10,0.004583247339770169,MID,2.055248350301707e-05,0.81854336150155,0.18143608601483227
Y0-M09-D11,-0.003501050981477965,MID,0.008217820003150487,0.8382929156985484,0.15348926429834553
Y0-M09-D14,0.004258881641845291,MID,0.00016441642504161225,0.8498472686147369,0.1499883149601504
Y0-M09-D15,-0.0013937382953721287,LOW,0.7777410456249945,0.1869969475011808,0.03526200687399784
Y0-M09-D16,0.0004906355070142053,LOW,0.8131457615251145,0.14404749007025286,0.04280674840463806
Y0-M09-D17,-0.0041685060421824405,MID,0.0002742940583598173,0.8629018645374993,0.1368238414040647
Y0-M09-D18,0.011819312572294783,HIGH,1.0612310661499543e-46,0.00943530947645214,0.9905646905237515
Y0-M09-D21,-0.0031384466346095585,MID,0.034643995659519984,0.8574109659195852,0.1079450384211153
Y0-M09-D22,-0.0016184876091083363,LOW,0.7130196974273811,0.23745815003418685,0.049522152538539685
Y0-M09-D23,-0.005425052777561127,MID,5.026514700551423e-08,0.7859459537580387,0.21405399597682054
Y0-M09-D24,0.00706022986050027,MID,1.0203378563167672e-14,0.6285567423447513,0.371443257655214
Y0-M09-D25,-0.008836605224378059,HIGH,2.081165727319717e-24,0.2824963816887854,0.7175036183114211
Y0-M09-D28,-0.007735639161500738,MID,4.159804331972201e-18,0.5481014924007651,0.45189850759909245
Y0-M09-D29,0.009204457062835313,HIGH,9.266833234991749e-27,0.20719675845304442,0.7928032415469528
Y0-M09-D30,-0.002822343915453097,MID,0.10095411544842131,0.801082260306724,0.09796362424501379
Y0-M10-D01,0.016242106789299514,HIGH,4.883888326569817e-93,3.218372513243724e-06,0.9999967816276643
Y0-M10-D02,-0.004311721889858602,MID,9.40846885653693e-05,0.858836119019117,0.14106979629243466
Y0-M10-D05,-0.005349828053252858,MID,9.166581184186737e-08,0.8002523477290173,0.19974756060503743
Y0-M10-D06,-0.0017559488524491588,LOW,0.6793397934216007,0.2731700693304579,0.047490137247999366
Y0-M10-D07,-0.0015127550969529628,LOW,0.751068050360954,0.2052911115358443,0.04364083810341209
